players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
30,38,84,1,0,481,449,69,830,279,347,7,8,2,1807,574,625,47.9,/en/squads/8d6fd021/2023-2024/Alaves-Stats
35,38,93,6,4,478,493,75,659,313,372,2,9,0,1716,557,587,48.7,/en/squads/78ecf4bb/2023-2024/Almeria-Stats
27,38,80,5,3,511,428,78,845,278,362,4,5,4,2010,541,525,50.8,/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
27,38,89,5,3,438,447,123,621,256,399,4,2,0,1896,422,392,51.8,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
29,38,87,2,1,412,469,99,651,257,363,6,2,0,1789,453,399,53.2,/en/squads/206d90db/2023-2024/Barcelona-Stats
35,38,87,3,1,429,497,73,636,345,440,1,8,3,1921,479,500,48.9,/en/squads/fc536746/2023-2024/Real-Betis-Stats
31,38,66,5,2,463,485,63,661,297,382,4,8,3,1908,522,548,48.8,/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
34,38,107,7,0,576,498,90,791,298,398,2,2,1,1831,632,673,48.4,/en/squads/ee7c297c/2023-2024/Cadiz-Stats
33,38,135,10,5,648,437,78,701,307,364,3,7,0,1773,657,692,48.7,/en/squads/7848bd64/2023-2024/Getafe-Stats
25,38,75,1,0,406,471,95,698,257,340,7,7,0,1808,373,390,48.9,/en/squads/9024a00a/2023-2024/Girona-Stats
40,38,98,4,1,514,504,75,664,280,374,5,6,2,1708,484,540,47.3,/en/squads/a0435291/2023-2024/Granada-Stats
29,38,84,5,1,411,499,93,580,281,397,3,9,3,1846,395,489,44.7,/en/squads/0049d422/2023-2024/Las-Palmas-Stats
25,38,105,4,2,567,412,104,763,365,388,2,5,1,1816,773,686,53.0,/en/squads/2aa12281/2023-2024/Mallorca-Stats
29,38,78,5,1,518,392,68,813,263,311,4,2,0,1802,750,655,53.4,/en/squads/03c57e2b/2023-2024/Osasuna-Stats
26,38,108,5,3,563,518,96,688,308,372,3,2,2,1908,506,578,46.7,/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
27,38,69,4,1,368,523,79,618,296,368,3,1,1,1766,329,272,54.7,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
31,38,98,2,0,604,442,92,672,253,405,1,7,1,1816,759,714,51.5,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
35,38,108,4,0,477,443,77,934,313,463,1,5,2,1901,610,525,53.7,/en/squads/ad2be733/2023-2024/Sevilla-Stats
29,38,64,5,2,481,475,69,593,324,379,7,6,2,1863,485,628,43.6,/en/squads/dcc91a7b/2023-2024/Valencia-Stats
32,38,110,8,4,488,462,92,592,304,348,5,6,1,1697,474,357,57.0,/en/squads/2a8183b3/2023-2024/Villarreal-Stats
