players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
29,38,557,322,292,202,63,280,623,44.9,343,435,122,313,322,879,855,13,/en/squads/78ecf4bb/2022-2023/Almeria-Stats
26,38,608,369,267,254,87,322,642,50.2,320,415,95,320,310,918,598,14,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
27,38,667,408,332,245,90,334,685,48.8,351,396,103,293,304,971,704,9,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
29,38,522,324,211,216,95,227,498,45.6,271,353,82,271,253,775,439,17,/en/squads/206d90db/2022-2023/Barcelona-Stats
30,38,665,421,373,238,54,338,701,48.2,363,411,112,299,364,1029,857,7,/en/squads/fc536746/2022-2023/Real-Betis-Stats
26,38,664,413,319,269,76,295,676,43.6,381,393,84,309,368,1032,666,5,/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
38,38,623,410,358,205,60,320,671,47.7,351,425,128,297,270,893,853,13,/en/squads/ee7c297c/2022-2023/Cadiz-Stats
32,38,633,363,367,212,54,280,603,46.4,323,413,131,282,323,956,766,13,/en/squads/6c8b07df/2022-2023/Elche-Stats
33,38,652,379,330,239,83,301,600,50.2,299,416,134,282,338,990,788,9,/en/squads/a8661628/2022-2023/Espanyol-Stats
25,38,541,339,282,199,60,285,619,46.0,334,404,113,291,320,861,794,10,/en/squads/7848bd64/2022-2023/Getafe-Stats
29,38,551,321,271,213,67,244,532,45.9,288,379,111,268,266,817,662,20,/en/squads/9024a00a/2022-2023/Girona-Stats
31,38,583,344,318,213,52,283,581,48.7,298,402,146,256,318,901,859,7,/en/squads/2aa12281/2022-2023/Mallorca-Stats
26,38,534,328,256,196,82,266,588,45.2,322,392,97,295,315,849,749,10,/en/squads/03c57e2b/2022-2023/Osasuna-Stats
28,38,636,393,262,276,98,281,664,42.3,383,428,92,336,309,945,680,11,/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
26,38,542,353,242,212,88,259,565,45.8,306,365,105,260,296,838,469,5,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
30,38,660,395,304,254,102,285,613,46.5,328,399,103,296,271,931,624,13,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
35,38,587,367,261,230,96,281,591,47.5,310,361,127,234,339,926,633,9,/en/squads/ad2be733/2022-2023/Sevilla-Stats
28,38,678,428,340,254,84,311,645,48.2,334,370,75,295,288,966,643,21,/en/squads/dcc91a7b/2022-2023/Valencia-Stats
36,38,671,396,334,251,86,296,628,47.1,332,432,149,283,345,1016,767,8,/en/squads/17859612/2022-2023/Valladolid-Stats
32,38,578,370,276,201,101,270,534,50.6,264,372,125,247,262,840,691,16,/en/squads/2a8183b3/2022-2023/Villarreal-Stats
