players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
30,38,578,347,284,227,67,290,629,46.1,339,363,117,246,279,857,810,5,/en/squads/8d6fd021/2023-2024/Alaves-Stats
35,38,633,372,354,222,57,280,582,48.1,302,430,134,296,313,946,856,19,/en/squads/78ecf4bb/2023-2024/Almeria-Stats
27,38,581,362,217,264,100,305,635,48.0,330,419,106,313,278,859,631,4,/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
27,38,654,399,308,263,83,327,671,48.7,344,460,114,346,256,910,793,8,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
29,38,571,363,271,223,77,243,523,46.5,280,363,97,266,257,828,573,17,/en/squads/206d90db/2023-2024/Barcelona-Stats
35,38,692,440,305,300,87,358,683,52.4,325,422,101,321,345,1037,801,9,/en/squads/fc536746/2023-2024/Real-Betis-Stats
31,38,627,382,302,243,82,308,662,46.5,354,434,116,318,297,924,832,9,/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
34,38,671,398,338,264,69,341,728,46.8,387,443,123,320,298,969,786,13,/en/squads/ee7c297c/2023-2024/Cadiz-Stats
33,38,608,364,269,251,88,291,577,50.4,286,342,103,239,307,915,730,6,/en/squads/7848bd64/2023-2024/Getafe-Stats
25,38,544,340,264,222,58,274,521,52.6,247,378,124,254,257,801,661,21,/en/squads/9024a00a/2023-2024/Girona-Stats
40,38,637,374,336,237,64,289,623,46.4,334,404,110,294,280,917,779,26,/en/squads/a0435291/2023-2024/Granada-Stats
29,38,662,397,328,263,71,305,633,48.2,328,416,98,318,281,943,761,14,/en/squads/0049d422/2023-2024/Las-Palmas-Stats
25,38,686,388,347,281,58,340,657,51.8,317,369,131,238,365,1051,785,10,/en/squads/2aa12281/2023-2024/Mallorca-Stats
29,38,525,311,247,201,77,243,517,47.0,274,400,108,292,263,788,756,16,/en/squads/03c57e2b/2023-2024/Osasuna-Stats
26,38,630,372,279,282,69,270,608,44.4,338,410,105,305,308,938,796,12,/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
27,38,557,368,252,214,91,225,461,48.8,236,401,104,297,296,853,552,14,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
31,38,650,405,271,285,94,283,552,51.3,269,405,118,287,253,903,693,15,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
35,38,697,463,380,237,80,335,626,53.5,291,395,123,272,313,1010,772,9,/en/squads/ad2be733/2023-2024/Sevilla-Stats
29,38,657,379,335,250,72,309,618,50.0,309,392,105,287,324,981,842,9,/en/squads/dcc91a7b/2023-2024/Valencia-Stats
32,38,576,348,288,212,76,260,532,48.9,272,386,130,256,304,880,789,12,/en/squads/2a8183b3/2023-2024/Villarreal-Stats
