players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
29,38,98,4,2,443,401,83,605,322,322,2,6,1,1890,482,530,47.6,/en/squads/78ecf4bb/2022-2023/Almeria-Stats
26,38,81,5,1,512,421,96,918,310,369,3,3,3,2194,532,487,52.2,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
27,38,92,8,3,440,418,79,625,304,408,0,5,0,1977,445,399,52.7,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
29,38,84,6,3,433,452,98,744,253,324,0,3,3,1995,467,359,56.5,/en/squads/206d90db/2022-2023/Barcelona-Stats
30,38,83,15,3,414,535,74,514,364,421,4,3,1,1918,453,502,47.4,/en/squads/fc536746/2022-2023/Real-Betis-Stats
26,38,85,6,3,469,493,81,705,368,413,2,8,1,2031,458,539,45.9,/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
38,38,116,7,4,532,482,75,633,270,410,2,10,0,1953,606,651,48.2,/en/squads/ee7c297c/2022-2023/Cadiz-Stats
32,38,99,12,3,525,394,81,750,323,363,4,10,2,1924,484,465,51.0,/en/squads/6c8b07df/2022-2023/Elche-Stats
33,38,99,10,4,457,493,62,713,338,379,3,6,2,1791,647,596,52.1,/en/squads/a8661628/2022-2023/Espanyol-Stats
25,38,126,9,6,600,437,79,649,320,339,3,8,2,1871,714,697,50.6,/en/squads/7848bd64/2022-2023/Getafe-Stats
29,38,92,3,2,440,507,87,713,266,321,7,8,0,1836,428,435,49.6,/en/squads/9024a00a/2022-2023/Girona-Stats
31,38,120,5,0,611,457,77,635,318,344,4,7,0,1833,674,629,51.7,/en/squads/2aa12281/2022-2023/Mallorca-Stats
26,38,93,7,1,544,410,60,794,315,328,5,4,2,1930,613,628,49.4,/en/squads/03c57e2b/2022-2023/Osasuna-Stats
28,38,90,6,2,544,490,98,832,309,393,2,5,4,2085,437,527,45.3,/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
26,38,72,3,2,367,530,89,574,296,353,8,5,1,1843,339,231,59.5,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
30,38,90,2,0,621,452,91,538,271,395,4,2,2,2018,664,557,54.4,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
35,38,121,13,4,474,460,106,827,339,367,4,3,3,1973,497,475,51.1,/en/squads/ad2be733/2022-2023/Sevilla-Stats
28,38,93,8,3,504,510,80,924,288,428,6,5,2,2015,492,561,46.7,/en/squads/dcc91a7b/2022-2023/Valencia-Stats
36,38,94,6,2,460,516,98,683,345,396,4,10,1,1966,471,617,43.3,/en/squads/17859612/2022-2023/Valladolid-Stats
32,38,91,4,2,450,482,87,520,262,370,5,4,1,1819,357,375,48.8,/en/squads/2a8183b3/2022-2023/Villarreal-Stats
