season,team,possession_pct,xg_per90,shots_per90,touches_att_pen_area_per90,progressive_passes_per90,tackles_interceptions_per90,tackles_won_per90,blocks_per90,interceptions_per90,def_actions_att_third_per90,progressive_carries_per90,long_pass_pct,crosses_into_pen_area_per90,touches_per_possession,possession_pct_norm,xg_per90_norm,shots_per90_norm,touches_att_pen_area_per90_norm,progressive_passes_per90_norm,tackles_interceptions_per90_norm,tackles_won_per90_norm,blocks_per90_norm,interceptions_per90_norm,def_actions_att_third_per90_norm,progressive_carries_per90_norm,long_pass_pct_norm,crosses_into_pen_area_per90_norm,touches_per_possession_norm
2020-21,Alaves,42.8,1.12,8.92,15.131578947368421,24.710526315789473,24.394736842105264,7.684210526315789,8.973684210526315,11.263157894736842,99.6842105263158,10.631578947368421,50.7,2.1578947368421053,425.14018691588785,0.260586319218241,0.2869565217391305,0.23897058823529413,0.19750000000000004,0.0652340752110514,0.4656488549618321,0.23232323232323243,0.34831460674157294,0.8248175182481752,0.03559718969555035,0.09409888357256777,0.2699619771863118,0.45945945945945943,0.2111674589501067
2020-21,Athletic Club,49.9,1.13,10.5,17.763157894736842,39.36842105263158,21.18421052631579,7.078947368421052,8.973684210526315,9.052631578947368,144.21052631578948,18.026315789473685,57.4,2.0789473684210527,428.95791583166334,0.49185667752442996,0.2956521739130434,0.4325980392156863,0.3225,0.49270913277052963,0.0,0.0,0.34831460674157294,0.21167883211678834,0.2997658079625292,0.5422647527910686,0.5247148288973382,0.4189189189189189,0.2589487728217252
2020-21,Atletico Madrid,52.3,1.39,11.89,23.526315789473685,42.21052631578947,26.526315789473685,9.657894736842104,9.5,10.157894736842104,156.23684210526315,18.263157894736842,57.6,1.394736842105263,469.61759082217975,0.5700325732899022,0.5217391304347825,0.6029411764705883,0.5962500000000001,0.5755947812739831,0.7748091603053437,0.9898989898989896,0.5730337078651687,0.5182481751824816,0.37111631537861034,0.5566188197767145,0.5323193916349809,0.06756756756756754,0.7678305545040236
2020-21,Barcelona,65.5,1.94,15.13,32.026315789473685,56.76315789473684,22.63157894736842,7.7105263157894735,8.552631578947368,9.5,262.2368421052632,25.57894736842105,69.9,1.368421052631579,488.1679389312977,1.0,1.0,1.0,1.0,1.0,0.20992366412213728,0.24242424242424246,0.16853932584269682,0.3357664233576643,1.0,1.0,1.0,0.0540540540540541,1.0
2020-21,Real Betis,53.6,1.29,11.39,20.789473684210527,37.94736842105263,26.526315789473685,8.263157894736842,9.5,11.894736842105264,150.94736842105263,18.263157894736842,55.7,2.1052631578947367,441.0820895522388,0.6123778501628665,0.4347826086956522,0.5416666666666667,0.46625000000000005,0.45126630851880273,0.7748091603053437,0.4545454545454548,0.5730337078651687,1.0,0.33973458235753307,0.5566188197767145,0.4600760456273764,0.43243243243243235,0.41069054463350685
2020-21,Celta Vigo,53.3,1.33,9.21,15.605263157894736,34.421052631578945,28.07894736842105,9.68421052631579,10.5,10.657894736842104,124.78947368421052,13.526315789473685,53.3,1.263157894736842,436.60412757973734,0.6026058631921823,0.4695652173913044,0.27450980392156876,0.22,0.34842670759785105,1.0,1.0,1.0,0.6569343065693428,0.18454332552693198,0.26953748006379585,0.36882129277566517,0.0,0.35464599269344255
2020-21,Cadiz,34.8,0.91,7.87,11.526315789473685,22.473684210526315,26.57894736842105,8.342105263157896,9.68421052631579,11.5,94.6842105263158,11.973684210526315,44.1,1.9210526315789473,459.1666666666667,0.0,0.10434782608695653,0.11029411764705886,0.02625000000000007,0.0,0.782442748091603,0.48484848484848525,0.651685393258427,0.8905109489051094,0.005932864949258391,0.175438596491228,0.01901140684410646,0.33783783783783783,0.6370305688739242
2020-21,Eibar,49.3,1.19,11.66,17.657894736842106,34.078947368421055,24.94736842105263,8.131578947368421,9.473684210526315,11.421052631578947,155.89473684210526,13.342105263157896,49.7,3.1052631578947367,422.4949290060852,0.4723127035830618,0.3478260869565217,0.5747549019607844,0.31750000000000006,0.33844973138910217,0.545801526717557,0.4040404040404042,0.5617977528089886,0.8686131386861311,0.36908665105386407,0.2583732057416268,0.23193916349809887,0.9459459459459458,0.17806036799417718
2020-21,Elche,47.5,0.79,6.97,10.973684210526315,24.44736842105263,24.657894736842106,8.81578947368421,9.394736842105264,10.157894736842104,93.6842105263158,13.18421052631579,55.1,2.0789473684210527,438.9263157894737,0.4136807817589577,0.0,0.0,0.0,0.05755947812739829,0.5038167938931298,0.6666666666666667,0.5280898876404498,0.5182481751824816,0.0,0.24880382775119614,0.4372623574144486,0.4189189189189189,0.3837096601685978
2020-21,Getafe,43.3,0.91,9.34,17.605263157894736,28.68421052631579,25.57894736842105,9.263157894736842,9.5,10.342105263157896,141.23684210526315,11.657894736842104,44.0,2.6842105263157894,408.26789838337186,0.27687296416938106,0.10434782608695653,0.29044117647058826,0.315,0.18112049117421342,0.6374045801526717,0.8383838383838386,0.5730337078651687,0.5693430656934308,0.2821233411397345,0.15629984051036674,0.015209125475285114,0.7297297297297296,0.0
2020-21,Granada,41.4,1.08,9.32,14.0,25.657894736842106,23.44736842105263,7.342105263157895,10.210526315789474,10.31578947368421,103.89473684210526,10.81578947368421,43.6,1.5263157894736843,414.3719806763285,0.2149837133550489,0.2521739130434783,0.28799019607843146,0.14375000000000002,0.09286262471220265,0.32824427480915996,0.10101010101010115,0.8764044943820228,0.5620437956204379,0.06057767369242773,0.10526315789473682,0.0,0.1351351351351352,0.07639648554740462
